company,education,Industry,jobdescription,City,Job_Title,Posting_Date,Skill_Category,Experience_Years,Average_Salary,Year,Month,Month_Name
Phillips HVC consulting Pvt Ltd,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Telecom/ISP /,"Job Description   Send me Jobs like this Knowledge of XML authoring, RohoHelp , DITA and graphic tools. Knowledge of graphic tools such as SnagIT and CorelDraw. Knowledge of basic UNIX and scripting is preferred. Good understanding of the SDLC and DDLC. Knowledge of Technical Writer . Salary:INR 3,50,000 - 7,00,000 P.A. Include TA+ D.A +HRA Industry: Telecom/ISP / Functional Area: IT Software - Application Programming , Maintenance Role Category:QA/Testing/Documentation Role:Technical Writer Keyskills Technical Writing Snagit DITA Graphic Tools XML Corel Draw Unix Scripting Technical Writer tech writer content writer technicalwriting technical documentation technical author tech pub technical publication Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please Refer To The Job Description Above. And For The Further Details About This Job Kindly Email us At - Career@phillipshvc.com Company Profile: Phillips HVC consulting Pvt Ltd Phillips HVC consulting Pvt Ltd (PHC) is a major technology, engineering, construction, manufacturing and financial services conglomerate, with global operations. Download PPT Photo 1   View Contact Details",Chandigarh,Technical Writer,2015-11-23 01:33:32+00:00,IT Software - Application Programming,2.5,525000,2015,11,November
PeopleLogic Business Solutions Pvt Ltd hiring for A Top Digital and Creative Media service Organization,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",IT-Hardware & Networking,"Job Description   Send me Jobs like this Should have hands-on experience in setting up SAN, NAS, DAS environment Should have minimum of 3 - 4 years hands on knowledge in configuring and managing storage, servers, Ethernet and SAN switches Should have knowledge on designing Backup solutions, backup middle ware, Tape drives and tape library systems Should have knowledge on Zoning and VLANS, teaming and FC and Ethernet switch protocols Ability to understand customers requirement (Internal/External) and design a solution. Should be able to plan and execute installations should have experience in on-site deployments. Should have willingness to travel and execute domestic / International deployments. Should possess strong knowledge in OS installations and configuration (Optimization) Should have knowledge in capacity and performance sizing of Storage servers. Should have knowledge Database and virtualization (sizing and performance optimization) Exp- 15 -19 Yrs Role: Permanent Location : Chennai ( but involves travelling across abroad and within India) Salary:INR 10,00,000 - 20,00,000 P.A. + Varibles Industry: IT-Hardware & Networking Functional Area: IT Software - Middleware Role Category:Admin/Maintenance/Security/Datawarehousing Role:Maintenance Engineer Keyskills SAN NAS DAS Storage Solution Architect Network Planning Design Networking backup Ethernet Server manag tape Switch OS installations configuration optimization installation optimization Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Skills Certification: ITIL framework, PMP (or) Prince2 Knowledge on Visio or similar tool will be an added advantage. Knowledge on Postproduction and broadcast industry will be an added advantage Additional Information Should possess excellent listening and communication skills Should possess good analytical and troubleshooting skills Self-driven and able to work independently or within a team Company Profile: PeopleLogic Business Solutions Pvt Ltd A Top Digital and Creative Media service Organization We are hiring for our prestigious Client who is India's largest provider of integrated services catering to every area involved in film, video, new media production, post production, distribution and exhibition though its facilities around the World. Our clientele include major Hollywood and International studios and production houses. We have provided solutions for several Academy Award, Golden Globe Award, National and International Award Winning projects. Over the years Prasad Group has received the Indian National Award for best services 20 times. A leading production Media Company well known for their digital media services across globe.They are rated as world's no 2 for their services they add to films digitization The bottom line of business is adding special effects to films like 2D/3D and restoring & Archiving films apart from film production. Download PPT Photo 1   View Contact Details",Chennai,Infrastructure Solution Architect,2015-11-23 01:33:33+00:00,IT Software - Middleware,17,1500000,2015,11,November
Best RPO,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Position: Service Desk Job Location : Noida, Chennai, bangalore, Hyderabad Interview Location:Royal Orchid Central A-2 A/26 Collectorate Circle,Bani Park, Jaipur, Rajasthan,302016 Company: HCL Exp Level: 0.6 Yr To 3 Yr Vipin 8010379690 Salary:INR 2,50,000 - 6,00,000 P.A. Best In Industry Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills Technical Support TSR TSO tech support voice technical support it helpdesk service desk server support linux unix TSE Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Position: Service Desk Job Location : Noida, Chennai, bangalore, Hyderabad Interview Location:Royal Orchid Central A-2 A/26 Collectorate Circle,Bani Park, Jaipur, Rajasthan,302016 Company: HCL Exp Level: 0.6 Yr To 3 Yr Company Profile: Best RPO Found in August 2009, Best RPO has the birthright and the lineage that you should demand from any Service provider. Best RPO Offers right from the executive search to specialised staff to Business Heads, VP's Directors. Download PPT Photo 1   View Contact Details",Chennai,Walkin | Service Desk | Jaipur |vipin 8010379690,2015-11-23 01:33:33+00:00,ITES,2,425000,2015,11,November
CBSI India Pvt. Ltd.,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",IT-Software / Software Services,"Job Description   Send me Jobs like this hi all, please share your profiles for mainframe developers deekshithat@cbsiglobal.com exp:2 to 6 years skill: mainframe developer ctc: maximum 5 LPA Work location/Interview Location: Chennai/ Hyderabad Salary:INR 3,00,000 - 5,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills mainframe mainframe developer cobal Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required hi all,please share your profiles for mainframe developers deekshithat@cbsiglobal.comexp:2 to 6 yearsskill: mainframe developerctc: maximum 5 LPAWork location/Interview Location: Chennai,Hyderabad Company Profile: CBSI India Pvt. Ltd. CBSI India Pvt Ltd is a spin-off of a Michigan based MNC company named SYNOVA. We are a technology enterprise offering services and Solutions since 1998. We are about 3000+ exultant CBSI'ites and we are proud to service over 100+ Tier 1 MNC clients in India. Our operations are spread across US, China, Brazil, Hongkong, Singapore and India. Our business model is driven by values which revolve around employees, customer, business code, quality and integrity. We welcome you to a brighter future... logon to www.cbsiglobal.com for more information. Download PPT Photo 1   View Contact Details",Chennai,Openings For Mainframe Developer,2015-11-24 01:33:33+00:00,IT Software - Application Programming,4,400000,2015,11,November
Acetech Solutions,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Construction / Engineering / Cement / Metals,"Job Description   Send me Jobs like this Tracking the movement of material in the stores. Streamlining the storage space. Applying quality tools in the work place. Maintaining registers of inflow & outflow of the material. ensuring timely and complete update on info in Salary:INR 1,75,000 - 3,75,000 P.A Industry: Construction / Engineering / Cement / Metals Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Retail Store Manager Keyskills tock executive Warehouse Management Warehouse Operations Store Keeping Store Pl Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Acetech Solutions Acetech Solutions: - Our aim is to make future and to give best placement for fresher and experience candidate Download PPT Photo 1   View Contact Details",Bengaluru,Junior Officer Stores,2015-11-21 01:33:33+00:00,Sales,2,275000,2015,11,November
Buzzworks Business Services Pvt Ltd.,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",IT-Software / Software Services,"Job Description   Send me Jobs like this Dear Candidate, Warm greetings from Buzz works!!! Here is an excellent career opportunity for multiple domain technology professionals. This would be an exciting opportunity for candidates who look out for fast track career growth and look for challenging assignments to enhance their technical and functional competencies. Job Description: Core Java, Spring, Hibernate REST web services Experiences: 6- 9 Years Mode: Permanent Notice period: Immediate to 30 days In case the above mentioned requirement looks interesting then kindly share your profile along with below mentioned details with me on the following id : lokesh@bbspl.in 1. Contact Number: 3. Current CTC: 4. Expected CTC: 5. Joining/Notice Period: 6. Current Location: 7. Willing to relocate to .........Location (only for outstation candidate): 8. Total and relevant experience: Salary:INR 6,00,000 - 13,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills java spring Hibernate Web Services Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Buzzworks Business Services Pvt Ltd. Buzzworks Business Services Pvt Ltd. Download PPT Photo 1   View Contact Details",Chennai,Urgent Opening For java and Spring,2015-11-23 01:33:33+00:00,IT Software - Application Programming,7.5,950000,2015,11,November
BlueWhale Solutions,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",IT-Software / Software Services,"Job Description   Send me Jobs like this Exp: 0-2years * Develops software solutions by studying information needs; conferring with users; * studying systems flow, data usage, and work processes; *investigating problem areas; following the software development lifecycle Salary:INR 1,00,000 - 3,00,000 P.A. Best in industry Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Fresher and Entry Level Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Share profile: Ms. Kokilavani Sr. Hr executive, 044-42124760, kokila@bluewhalesolutions.com Bluewhale Solutions 9/3, muthial reddy street, Alandur, St. Thomas mount, Near: NTL Call Taxi Head Office /St.Thomas Mount Railway Station/Metro Station. Company Profile: BlueWhale Solutions Blue Whale Solutions. Blue Whale Solutions formally known as Open wire Solutions Inc. We are a Software Technology Outsourcing consulting company formed in 2009 and its group founded in 1981, We have been providing services on software, Construction, Download PPT Photo 1   View Contact Details",Chennai,Fresher Software Engineer,2015-11-24 01:33:33+00:00,IT Software - Application Programming,0.5,200000,2015,11,November
XL Management Services hiring for XL Management Services,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required, MBA/PGDM - Any Specialization, HR/Industrial Relations Doctorate:Doctorate Not Required",Recruitment / Staffing,"Job Description   Send me Jobs like this XL Management Services is a consultancy located in Anna Nagar - Chennai  Please apply only if you are interested to work in a consultancy The candidate will be handling the recruitment activities and processes. Sourcing profiles from websites such as naukri, monster etc.  Screening the profiles as per the client requirements.  Coordinating with the client HR and scheduling the candidates for an interview.  Ensuring the selected candidates join as mentioned in the offer letter.  Follow up and regular interaction with selected candidates.  Achieving the assigned targets on a weekly and monthly basis.  Please call Nirmal @ 9094043500 for further details.  Salary:INR 1,50,000 - 2,50,000 P.A. Incentives + Allowances Industry: Recruitment / Staffing Functional Area: HR , Recruitment , Administration , IR Role Category:HR/ Recruitment / IR Role:Recruitment Executive Keyskills recruiter Recruitment staffing hiring talent acquisition hr human resource it recruiter Bulk Hiring Hr Consulting hr executive consultancy recruitment firm hr recruiter placement Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required, MBA/PGDM - Any Specialization, HR/Industrial Relations Doctorate:Doctorate Not Required Experienced & FreshersPrior work experience in a consultancy or recruitment firm is mandatory. Maximum notice period should be 1 month. Experienced candidates will be provided a hike as per industry standards. Maximum salary will be Rs, 18,000/- per month. MBA freshers who have completed their graduation and have a passion towards HR can apply.Maximum Salary for freshers will be Rs, 10,000/- per month. Location should be with staying with in a distance of 10-12 kilometres from Anna Nagar, Chennai. Maximum age limit to apply is 28 years. Please call Nirmal @ 9094043500 for further details or mail your resume to nirmal@xlmanagementservices.in Company Profile: XL Management Services XL Management Services XLMS is one of the fastest growing HR & Management services firm in Chennai. As the name suggests XLMS believes in delivering excellence via quality. XLMS works with leading brands in diverse verticals and focuses on helping clients in achieving their recruitment needs. XLMS believes in giving equal importance to each candidate ensuring that the candidate is placed in a job that is apt for his / her profile. Download PPT Photo 1   View Contact Details",Chennai,HR Recruiter - Experienced & Freshers,2015-11-26 01:33:33+00:00,HR,2.5,200000,2015,11,November
Pradot Technologies Private Limited,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Job description :-  Good exposure towards CPT, ICD, HCPCS.  Specialized in surgery coding, ED, Pathology, Multispeciality etc. Good Knowledge in ICD - 10.  Position Title: Medical Coder & Senior Medical Coder Salary:INR 1,00,000 - 5,00,000 P.A. Attractive Incentive Package with other benefits such as Medical Insurance etc. Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Back Office/Web/Transaction Processing Role:Associate/Senior Associate -(NonTechnical) Keyskills Medical Coding Medical Coder Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Pradot Technologies Private Limited PRADOT Started in the year 1999 With the vision of providing solutions to non-core competencies in health care industries worldwide & We acquired Groupone Healthsource, one among the top 10 Medical billing companies in USA headquartered at Jefferson City,USA. The 1st Company in the field to have been certified by ISO 9001: 2000,with nearly 1000 employees. Download PPT Photo 1   View Contact Details",Chennai,Medical Coder & Senior Medical Coder,2015-11-25 01:33:33+00:00,ITES,3,300000,2015,11,November
Hale hiring for a leading FMCG company,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",FMCG / Foods / Beverage,"Job Description   Send me Jobs like this Import And Export Manger required for a leading FMCG company 10yrs of Experience in FMCG Experience in Purchase, Logistics, Coordinating CHA If interested send your updated resume to talent@hale-india.com Salary:INR 4,00,000 - 7,00,000 P.A Industry: FMCG / Foods / Beverage Functional Area: Export , Import , Merchandising Role Category:Senior Management Role:Liason Officer/Manager Keyskills Export Management Import Cha Logistics Purchase Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Hale a leading FMCG company HALE HUMAN CAPITAL Download PPT Photo 1   View Contact Details",Chennai,Import & Export Manager @ FMCG Company,2015-11-24 01:33:33+00:00,Export,12.5,550000,2015,11,November
HDFC Bank Limited,"UG: Any Graduate - Any Specialization PG:Post Graduation Not Required, Any Postgraduate - Any Specialization Doctorate:Doctorate Not Required",Banking / Financial Services / Broking,"Job Description   Send me Jobs like this Achieve sales targets and providing Customer service Relationship Management for a Portfolio of customers Responsible for Cross Sell & enhancing relationship with existing customers Customer service to ensure walk in customers issues Selling of Investment products like Mutual Fund, Insurance & Current account & Saving account Managing Operations like A/c opening, Fixed Deposit, Lockers, and Forex etc Deepening of existing Current account & saving account relationships Generation of referrals from internal database Customer acquisition & cross sell to walk in customers Report Generation & filing Generate business and cross sell all products and services of the Bank Enhance the value of existing accounts of Current account & saving account customers. Retention of accounts Pins custodian Review all critical reports, monitor cash levels, fraud control, etc Cost Management and staff productivity Branch administration & ATM (onsite) management Branch Operations and Audit Compliance Salary:INR 2,00,000 - 5,00,000 P.A Industry: Banking / Financial Services / Broking Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales Executive/Officer Keyskills Sales CASA selling savings account selling Retail Branch Banking Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Post Graduation Not Required, Any Postgraduate - Any Specialization Doctorate:Doctorate Not Required Education: Any Graduate/Post Graduate/Professional Degree Minimum 1 year(s) of working experience in the related field is required for this position Sales/Marketing skills are required Candidate should possess good Communication Skills Required skill(s): Direct Sales, Interpersonal and Influential skills, Customer Service Preferred skill(s): Ability to learn, Banking operations Company Profile: HDFC Bank Limited HDFC Bank Ltd was promoted in the year 1994 by the premier housing finance company of the country, HDFC Ltd. The Bank commenced operations as a Scheduled Commercial Bank in January 1995. Today the Bank has a nationwide network of over 2000 branches and 5624 ATMs spread over 996 towns and cities across India The Banks American Depository Shares (ADS) are listed on the New York Stock Exchange (NYSE) and the Global Depository Receipts (GDRs) are listed on Luxembourg Stock Exchange. The Bank has been bestowed with numerous awards and accolades from top national and international agencies & magazines. HDFC Bank comprises of a dynamic and enthusiastic team determined to accomplish the vision of becoming a World-class Indian bank. Our business philosophy is based on our four core values - Customer Focus, Operational Excellence, Product Leadership and People. We believe that the ultimate identity and success of our bank will reside in the exceptional quality of our people and their extraordinary efforts. We are committed to hiring, developing, motivating and retaining the best people in the industry The Bank's objective is to build sound business franchises across distinct businesses so as to be a preferred provider of banking services for target retail and wholesale customer segments. We are committed to healthy growth in profitability while ensuring the highest levels of ethical standards, professional integrity, corporate governance and regulatory compliance. Download PPT Photo 1   View Contact Details",Chennai,Personal Banker,2015-11-21 01:33:33+00:00,Sales,3.5,350000,2015,11,November
Rennar Frais Management Consultants hiring for Rennar & Frais Consulting,"UG: Any Graduate - Any Specialization PG:MBA/PGDM - HR/Industrial Relations Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Recruitment / Staffing,"Job Description   Send me Jobs like this Responsible for developing and propagating Rennar & Frais brand in the Corporate Community. Responsible for achieving the topline, bottomline, coverage, retention and account management objectives in the respective geographies. Reach out to maximum number of Clients for staffing and training businesses, and present the key differentiators that Rennar & Frais brings into a Talent Acquisition mandate. Formalise Placement Agreements with Clients according to laid down guidelines. Clearly understand the needs and accordingly brief the operational team, with a Job Description / Training needs, on schedules, terms and the critical factors. Collect the dues from the Clients as per the terms agreed. Research and propose new Consulting areas which could be developed into revenue streams. Consistently look out for versatile trainers in different domains, functions and industries, and create active Trainers database. Market Intelligence. Salary:INR 7,50,000 - 9,00,000 P.A. Plus PLIs that can go up to Rs.10 Lacs per annum Industry: Recruitment / Staffing Functional Area: Sales , Retail , Business Development Role Category:Corporate Sales Role:Sales/Business Development Manager Keyskills Business Development Managers Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:MBA/PGDM - HR/Industrial Relations Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required MBA HR with a minimum of 6 years B2B Service sales and business development.Must have worked in staffing consulting companies and understand the talent acquisition process in organisations across industries.Must have good working knowledge of the prevailing commercial terms governing the consulting business in staffing and training.Must be able to interact with the HR leaders in prospective Client Organisations.Must have excellent communication, presentation and inter-personal skills Company Profile: Rennar Frais Management Consultants Rennar & Frais Consulting A 12 year old global consulting organisation, having successfully rendered strategic Consulting assignments for over 600 organisations in India, Middle East, Europe and USA. Download PPT Photo 1   View Contact Details",Chennai,Business Development Managers,2015-11-23 01:33:33+00:00,Sales,8,825000,2015,11,November
IPMS Placements Private Limited,"UG: Any Graduate - Any Specialization PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",IT-Software / Software Services,"Job Description   Send me Jobs like this Experience in supporting Document & Archive Management applications such as Opentext, Documentum; but also SharePoint ECM. Preferably a previous knowledge of dealing with Document Management administrative tasks. Skills in windows scripting. Salary:INR 2,00,000 - 6,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:System Analyst Keyskills System Engineering windows scripting debugging java code Opentext ECM Documentum Document Management Archive Management Archiving Enterprise Document Management Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Good communication skills in English and able to work in an international team of experts. Ability to give online training and support at an international level. Company Profile: IPMS Placements Private Limited We are One of the Leading Recruitment Consultant in the Western Region of the Country and catering Manpower requirements to Various National and MNC Clients across the Country. Download PPT Photo 1   View Contact Details",Aurangabad,"System Engineer - ( Documetum, ECM, Opentext )",2015-11-21 01:33:33+00:00,IT Software - Application Programming,4,400000,2015,11,November
Jobs Expert hiring for Corporate Bank,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",BPO / Call Centre / ITES,"Job Description   Send me Jobs like this * Limited Day shift jobs in Corporate bank (Voice Process)! * Gurgaon & Chennai Location! * Customer service + Up selling Profile! * Salary between 20k-30k + incentives! * Max Exp: 0-3 years * Max Age: 30 years * Limited Opening! Swati@ 9999113605 Salary:INR 2,50,000 - 3,25,000 P.A. cabs, Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills Voice process unlimited incenties excellent communication skills night shift jobs bpo jobs CCE CCO TSO Technical Support customer support collection day shift day job Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required * Candidate with excellent communication skills Company Profile: Jobs Expert Corporate Bank A LEADING RECRUITMENT FIRM WITH ITS CENTER IN SOUTH, WEST DELHI, GHAZIABAD AND CHANDIGARH, Download PPT Photo 1   View Contact Details",Chennai,Corporate Bank!day Shift Jobs! Voice Process! Sal:30k! 9999113605,2015-11-23 01:33:33+00:00,ITES,3,287500,2015,11,November
HCL Technologies Limited (TSS Division),"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",IT-Software / Software Services,"Job Description   Send me Jobs like this Greetings from HCL TSS, We are hiring for Following Position: Application Software Maintenance Software Trainee Network Engineer Software Testing SAP Trainee Java Trainee .NET Trainee Qualification: BE/ BTech/ME/MTech (CSE, IT, ECE, EEE, E&I) and also Bsc, BCA, MCA, MSC IT with an Aggregate of min 60% in college and above 55 % from Class X th and XII th Batch Pass-Out: 2011, 2012, 2013, 2014, 2015 Vacancy: 400 Please carry with your CV along with HCL Admit Card to below mentioned address: Maulana Azad National Urdu University, Gachibowli, Hyderabad - 500 032 Date: 25-11-2015 Timing: 9 am - 5 pm Please fill and register your information in HCL: http://goo.gl/forms/JDxvomCGD Please collect your HCL Admit Card Contact: Mr. Karthick - 8121366633, 8121366622 Salary:INR 2,00,000 - 2,50,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Other Role:Fresher Keyskills Application Support Java Networking SAP Dot Net Software Testing job freshers fresher Trainee Fresher and Trainee HCL Oracle Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: HCL Technologies Limited (TSS Division) HCL Training & Staffing Services Pvt. Ltd. is a subsidiary company of HCL Corporation created with a vision to provide assured jobs through a unique Training program ""Learn to Earn Accelerator Program"" or LEAP. Given the ever-increasing demand for quality talent within HCL, there was a significant need to create a niche avenue - a talent pool that would be equipped with the requisite expertise, and will be technically and professionally prepared to join the highly specialized workforce at HCL. Thus was conceived the idea of HCL TSS, with the objective of becoming the largest integrated talent-solutions company in India preparing skilled workforce for the future. Download PPT Photo 1   View Contact Details",Hyderabad / Secunderabad,HCL Freshers Walk-in on 25th Nov @ Hyderabad,2015-11-23 01:33:33+00:00,IT Software - Application Programming,1,225000,2015,11,November
"A2Z Group hiring for A2Z Infraservices Ltd.,","UG: Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Facility Management,"Job Description   Send me Jobs like this Should have BE/Diploma or any degree and should have valid safety course with 6 to 12 years of experience in Safety field.Should have knowledge in OSHAS, & EHS.Should have strong presentation and interpersonal skill. Salary:INR 5,00,000 - 9,00,000 P.A Industry: Facility Management Functional Area: Production , Manufacturing , Maintenance Role Category:Safety/Health/Environment Role:Safety Officer/Manager Keyskills Safety EHS Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: A2Z Group A2Z Infraservices Ltd., A2Z Infraservices Ltd., is one of the leading facility management company in India and we have deployed more than 20000 employees across India. Download PPT Photo 1   View Contact Details",Chennai,Manager - EHS,2015-11-23 01:33:33+00:00,Production,7.5,700000,2015,11,November
BLUE CHIP HR SOLUTIONS,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Banking / Financial Services / Broking,"Job Description   Send me Jobs like this 1. Should have hands on knowledge in sales ( especially field sales) 2. Experience should be minimum 1 year and above to 3 years. 3. Candidates with retail sales would be an added advantage 4. Should be a graduate Salary:INR 2,00,000 - 2,50,000 P.A. Attractive other Benefits Industry: Banking / Financial Services / Broking Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales/Business Development Manager Keyskills Banking Field Sales Nbfc Finance Retail Banking marketing sales business development relationship manager acquisition manager Corporate Sales Institutional Sales Hni Client Handling MBA marketing Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required AAM - Assistant Acquisition Manager Its Field sales job of selling Primarily current accounts and Saving accounts coupled with other financial products. Should have relieving / educational certificates from previous companies and education Company Profile: BLUE CHIP HR SOLUTIONS Our Client is a one stop shop for all banking needs. The bank offers personal finance solutions of every kind from savings accounts to credit cards, distribution of mutual funds to life insurance products. Download PPT Photo 1   View Contact Details",Chennai,Sales / Marketing / Relationship Managers for a Leading Mnc(on Rolls),2015-11-22 01:33:33+00:00,Sales,3,225000,2015,11,November
